claim_id,tier,file,line,claim,original_score,final_score,citation,fix_applied,status
H1,high,morphogen_parser.py,152,"Temporal window × concentration encoding",1,2,"Dessaud 2007 DOI:10.1038/nature06347; Sorre 2014 DOI:10.1016/j.devcel.2014.05.022; Sasai/Briscoe 2014 DOI:10.1371/journal.pbio.1001907",Added temporal_bins=True alternative encoding with 3 bins (early/mid/late),fixed
H2,high,morphogen_parser.py,284,"SR11237 treated as RA equivalent",0,3,"Gendimenico 1994 DOI:10.1111/1523-1747.ep12374092; Lammi 2008 DOI:10.1016/j.abb.2008.02.003; Galindo-Alarran 2025 DOI:10.1093/narmme/ugaf018",Added SR11237_uM column; RA_uM=0 for that condition,fixed
H3,high,03_fidelity_scoring.py,440,"Composite fidelity weights 35/25/25/15",0,2,"He/Treutlein 2024 DOI:10.1038/s41586-024-08172-8; Naas/Knoblich 2025 DOI:10.1016/j.celrep.2025.116168; Castiglione 2025 DOI:10.1038/s41598-025-14425-x",Documented as heuristic; added sensitivity_analysis_weights(); weights now configurable,fixed
H4,high,03_fidelity_scoring.py,260,"Aitchison similarity scale factor = 2.0",1,3,"Garreau et al 2017 (median heuristic); Quinn 2017 DOI:10.1038/s41598-017-16520-0; Egozcue/Pawlowsky-Glahn 2019",Replaced hardcoded 2.0 with median heuristic (data-driven scale),fixed
H5,high,config.py,164,"CellFlow OOD: Day 36 training → Day 45-72 predictions",1,2,"Klein 2025 DOI:10.1101/2025.04.11.648220; Sabanza-Gil 2025 DOI:10.1038/s43588-025-00822-9; Mikkola 2023 arXiv:2210.13937; Sanchis-Calleja 2025 DOI:10.1038/s41592-025-02927-5",Added relevance check (LOO-CV); DOI citations added; --cellflow-relevance-check flag,fixed
H6,high,config.py,184,"N/d kernel complexity thresholds 8/15 (NAIAD)",0,2,"Hvarfner 2024 arXiv:2402.02229; Eriksson/Jankowiak UAI 2021 arXiv:2103.00349",FABRICATED NAIAD citation removed; ARD enabled at lower N/d; correct citations added,fixed
H7,high,05_cellrank2_virtual.py,61,"Label harmonization: invented vocabulary",0,3,"He et al 2024 DOI:10.1038/s41586-024-08172-8 (HNOCA); verified against actual h5ad and Snapseed YAML",Rewritten with real HNOCA level_2 vocabulary; 6/8 mappings corrected,fixed
M1,medium,config.py,137,"Fidelity R² thresholds 0.80/0.90",1.5,2,"Sabanza-Gil 2025 DOI:10.1038/s43588-025-00822-9 (paper real but thresholds are pipeline interpretation)",Documented as 'inspired by' not 'from' Sabanza-Gil,fixed
M2,medium,03_fidelity_scoring.py,407,"Entropy sigma=0.2 hardcoded",0,1,"No literature basis found",Documented as heuristic; suggestion to derive from Braun entropy variance,fixed
M3,medium,04_gpbo_loop.py,1648,"SAASBO 128/16 → 8 effective samples",2,2,"Eriksson/Jankowiak UAI 2021 arXiv:2103.00349; BoTorch defaults 512/256/16",Documented as half BoTorch defaults (speed tradeoff),fixed
